iface,filename,bytes,mtime_utc,first_pkt_epoch,first_pkt_utc,last_pkt_epoch,last_pkt_utc,pkts_estimate
tap64df3304-c2,tap64df3304-c2_20260313_095601Z_120s.pcap,15559,2026-03-13T09:57:58Z,1773395764.110187,2026-03-13T09:56:04Z,1773395878.178593,2026-03-13T09:57:58Z,129
tap64df3304-c2,tap64df3304-c2_20260313_095801Z_120s.pcap,15492,2026-03-13T09:59:57Z,1773395884.047579,2026-03-13T09:58:04Z,1773395997.165105,2026-03-13T09:59:57Z,129
tap64df3304-c2,tap64df3304-c2_20260313_100001Z_120s.pcap,12224,2026-03-13T10:02:00Z,1773396002.978349,2026-03-13T10:00:02Z,1773396120.045134,2026-03-13T10:02:00Z,101
tap64df3304-c2,tap64df3304-c2_20260313_100201Z_120s.pcap,14578,2026-03-13T10:03:52Z,1773396125.872823,2026-03-13T10:02:05Z,1773396231.768988,2026-03-13T10:03:51Z,121
tap725b1265-d7,tap725b1265-d7_20260313_090757Z_120s.pcap,63858,2026-03-13T09:09:57Z,1773392877.643737,2026-03-13T09:07:57Z,1773392996.745892,2026-03-13T09:09:56Z,532
tap725b1265-d7,tap725b1265-d7_20260313_090957Z_120s.pcap,61491,2026-03-13T09:11:57Z,1773392997.786229,2026-03-13T09:09:57Z,1773393117.241129,2026-03-13T09:11:57Z,512
tap725b1265-d7,tap725b1265-d7_20260313_091157Z_120s.pcap,62569,2026-03-13T09:13:57Z,1773393118.282162,2026-03-13T09:11:58Z,1773393237.259253,2026-03-13T09:13:57Z,521
tap725b1265-d7,tap725b1265-d7_20260313_091357Z_120s.pcap,64726,2026-03-13T09:15:57Z,1773393238.300449,2026-03-13T09:13:58Z,1773393357.383836,2026-03-13T09:15:57Z,539
tap725b1265-d7,tap725b1265-d7_20260313_091557Z_120s.pcap,71253,2026-03-13T09:17:57Z,1773393358.428242,2026-03-13T09:15:58Z,1773393477.732786,2026-03-13T09:17:57Z,593
tap725b1265-d7,tap725b1265-d7_20260313_091758Z_120s.pcap,67665,2026-03-13T09:19:57Z,1773393478.633521,2026-03-13T09:17:58Z,1773393597.898192,2026-03-13T09:19:57Z,563
tap725b1265-d7,tap725b1265-d7_20260313_091958Z_120s.pcap,65919,2026-03-13T09:21:58Z,1773393598.866728,2026-03-13T09:19:58Z,1773393717.948177,2026-03-13T09:21:57Z,549
tap725b1265-d7,tap725b1265-d7_20260313_092158Z_120s.pcap,64841,2026-03-13T09:23:58Z,1773393718.890226,2026-03-13T09:21:58Z,1773393837.741936,2026-03-13T09:23:57Z,540
tap725b1265-d7,tap725b1265-d7_20260313_092358Z_120s.pcap,354685,2026-03-13T09:25:58Z,1773393838.782287,2026-03-13T09:23:58Z,1773393958.170927,2026-03-13T09:25:58Z,2955
tap725b1265-d7,tap725b1265-d7_20260313_092558Z_120s.pcap,334181,2026-03-13T09:27:58Z,1773393959.213231,2026-03-13T09:25:59Z,1773394078.274922,2026-03-13T09:27:58Z,2784
tap725b1265-d7,tap725b1265-d7_20260313_092758Z_120s.pcap,336814,2026-03-13T09:29:58Z,1773394079.316300,2026-03-13T09:27:59Z,1773394198.714334,2026-03-13T09:29:58Z,2806
tap725b1265-d7,tap725b1265-d7_20260313_092959Z_120s.pcap,342747,2026-03-13T09:31:58Z,1773394199.370689,2026-03-13T09:29:59Z,1773394318.794627,2026-03-13T09:31:58Z,2856
tap725b1265-d7,tap725b1265-d7_20260313_093159Z_120s.pcap,348861,2026-03-13T09:33:59Z,1773394319.607293,2026-03-13T09:31:59Z,1773394438.754179,2026-03-13T09:33:58Z,2907
tap725b1265-d7,tap725b1265-d7_20260313_093359Z_120s.pcap,344436,2026-03-13T09:35:59Z,1773394439.553423,2026-03-13T09:33:59Z,1773394559.193252,2026-03-13T09:35:59Z,2870
tap725b1265-d7,tap725b1265-d7_20260313_093559Z_120s.pcap,344528,2026-03-13T09:37:59Z,1773394560.167661,2026-03-13T09:36:00Z,1773394678.781682,2026-03-13T09:37:58Z,2871
tap725b1265-d7,tap725b1265-d7_20260313_093759Z_120s.pcap,352306,2026-03-13T09:39:59Z,1773394680.510022,2026-03-13T09:38:00Z,1773394799.146758,2026-03-13T09:39:59Z,2935
tap725b1265-d7,tap725b1265-d7_20260313_093959Z_120s.pcap,352852,2026-03-13T09:41:59Z,1773394800.186843,2026-03-13T09:40:00Z,1773394918.764076,2026-03-13T09:41:58Z,2940
tap725b1265-d7,tap725b1265-d7_20260313_094159Z_120s.pcap,350110,2026-03-13T09:43:59Z,1773394920.712821,2026-03-13T09:42:00Z,1773395039.328810,2026-03-13T09:43:59Z,2917
tap725b1265-d7,tap725b1265-d7_20260313_094400Z_120s.pcap,351142,2026-03-13T09:45:59Z,1773395040.369852,2026-03-13T09:44:00Z,1773395159.124878,2026-03-13T09:45:59Z,2926
